Logistics SAPI shipments Event Timestamp Time,Logistics SAPI shipments Shippingaddress Countrycode,Logistics SAPI shipments Shippingaddress Locality
2017-02-09 08:59:11,IN,Bangalore
2017-02-09 08:59:12,US,CHICAGO
2017-02-09 08:59:13,US,Mt. Prospect
2017-02-09 08:59:13,GB,London
2017-02-09 08:59:16,US,Matthews
2017-02-09 08:59:17,US,Redmond
2017-02-09 08:59:18,GB,Witney
2017-02-09 08:59:22,IN,"BALLY, HOWRAH"
2017-02-09 08:59:23,US,newhall
2017-02-09 08:59:24,US,Honolulu
2017-02-09 08:59:24,GB,ABINGDON
2017-02-09 08:59:32,FR,Les Houches
2017-02-09 08:59:32,GB,Loughborough 
2017-02-09 08:59:33,AU,Perth
2017-02-09 08:59:34,IN,Ajmer
2017-02-09 08:59:35,US,Rockville
2017-02-09 08:59:36,GB,Belfast
2017-02-09 08:59:37,GB,Reading
2017-02-09 08:59:38,CA,Montreal
2017-02-09 08:59:39,IN,Indore
2017-02-09 08:59:39,US,Hingham
2017-02-09 08:59:42,FR,VAIRES SUR MAR
2017-02-09 08:59:43,US,Las Vegas
2017-02-09 08:59:51,GB,Gillingham
2017-02-09 08:59:51,GB,bromley
2017-02-09 08:59:56,US,Kissimmee
2017-02-09 08:59:56,GB,Helensburgh
2017-02-09 09:00:00,AU,Fawkner
2017-02-09 09:00:01,US,Tacoma
2017-02-09 09:00:02,US,HOUSTON
2017-02-09 09:00:05,US,Tillamook
2017-02-09 09:00:05,GB,Hull
2017-02-09 09:00:08,US,Hollywood
2017-02-09 09:00:11,GB,London
2017-02-09 09:00:11,US,Newton Center
2017-02-09 09:00:11,IN,Bengaluru
2017-02-09 09:00:13,GB,Dereham
2017-02-09 09:00:14,GB,Llanbrynmair
2017-02-09 09:00:16,GB,sittingbourne
2017-02-09 09:00:17,US,Chino hills
2017-02-09 09:00:18,US,Bannockburn
2017-02-09 09:00:21,GB,Bath
2017-02-09 09:00:22,US,San Francisco
2017-02-09 09:00:22,US,Bixby
2017-02-09 09:00:24,US,Bourbonnais
2017-02-09 09:00:24,US,Vacaville
2017-02-09 09:00:27,IN,Chhindwara
2017-02-09 09:00:28,GB,Leeds
2017-02-09 09:00:28,GB,stonham aspal
2017-02-09 09:00:29,US,coronado
2017-02-09 09:00:30,US,Bronx
2017-02-09 09:00:31,GB,Bath
2017-02-09 09:00:31,GB,Broadstone
2017-02-09 09:00:31,AT,Wien
2017-02-09 09:00:34,US,kansas city
2017-02-09 09:00:36,GB,Bath
2017-02-09 09:00:39,IN,"Belgaum, Pincode-591201"
2017-02-09 09:00:45,FR,AVRICOURT
2017-02-09 09:00:46,FR,Saint Fiacre sur Maine
2017-02-09 09:00:47,FR,PERIGNY
2017-02-09 09:00:48,US,CONYERS
2017-02-09 09:00:49,US,Fredericksburg
2017-02-09 09:00:51,IN,singur
2017-02-09 09:00:53,IN,Kolkata
2017-02-09 09:00:54,FR,Neuilly sur Seine
2017-02-09 09:00:55,US,Sioux Falls
2017-02-09 09:00:57,GB,Cramlington
2017-02-09 09:00:57,GB,BIRMINGHAM
2017-02-09 09:01:00,US,NORFOLK
2017-02-09 09:01:03,IN,DELHI
2017-02-09 09:01:05,NO,Trondheim
2017-02-09 09:01:08,US,Eugene
2017-02-09 09:01:10,US,Kamas
2017-02-09 09:01:11,GB,Beaconsfield
2017-02-09 09:01:12,US,Pittsburgh
2017-02-09 09:01:13,AU,Evanston Park
2017-02-09 09:01:13,US,Philadelphia
2017-02-09 09:01:15,IN,New Delhi
2017-02-09 09:01:16,GB,Abingdon
2017-02-09 09:01:19,US,Novelty
2017-02-09 09:01:22,GB,BATTLE
2017-02-09 09:01:24,GB,Trimley St Mary
2017-02-09 09:01:25,GB,Swindon
2017-02-09 09:01:25,IN,Pune
2017-02-09 09:01:26,IN,Pune
2017-02-09 09:01:27,US,West Burlington
2017-02-09 09:01:29,AT,Wien
2017-02-09 09:01:32,US,Augusta
2017-02-09 09:01:32,GB,Ballymena
2017-02-09 09:01:33,GB,Stirling
2017-02-09 09:01:35,US,Delray Beach
2017-02-09 09:01:37,CA,Windsor
2017-02-09 09:01:38,IN,surat
2017-02-09 09:01:40,GB,Corby
2017-02-09 09:01:41,FR,Evian les Bains
2017-02-09 09:01:41,AT,Wien
2017-02-09 09:01:41,US,BOYNTON BEACH
2017-02-09 09:01:42,FR,Aubière
2017-02-09 09:01:42,GB,King's Lynn
2017-02-09 09:01:44,FR,LONS
2017-02-09 09:01:45,US,Houston
2017-02-09 09:01:45,FR,Castres
2017-02-09 09:01:48,GB,Clapham
